fecha,valor
2024-02-26,108.8125
2024-02-27,110.0
2024-02-28,109.0625
2024-02-29,108.9375
2024-03-01,108.8125
2024-03-04,108.9375
2024-03-05,108.9375
2024-03-06,109.25
2024-03-07,108.0625
2024-03-08,108.9375
2024-03-11,108.625
2024-03-12,74.375
2024-03-13,72.5
2024-03-14,72.375
2024-03-15,71.625
2024-03-18,71.125
2024-03-19,71.0625
2024-03-20,71.25
2024-03-21,72.25
2024-03-22,71.3125
2024-03-25,71.375
2024-03-26,71.1875
2024-03-27,70.875
2024-04-03,70.75
2024-04-04,71.5
2024-04-05,71.375
2024-04-08,71.5
2024-04-09,70.875
2024-04-10,69.8125
2024-04-11,67.875
2024-04-12,61.4375
2024-04-15,61.3125
2024-04-16,61.3125
2024-04-17,61.0
2024-04-18,61.8125
2024-04-19,60.9375
2024-04-22,60.8125
2024-04-23,61.0
2024-04-24,61.25
2024-04-25,56.5
2024-04-26,50.6875
2024-04-29,50.8125
2024-04-30,50.8125
2024-05-02,47.875
2024-05-03,40.9375
2024-05-06,40.3125
2024-05-07,40.4375
2024-05-08,39.75
2024-05-09,40.125
2024-05-10,39.375
2024-05-13,39.75
2024-05-14,39.1875
2024-05-15,32.5
2024-05-16,32.0625
2024-05-17,31.1875
2024-05-20,31.9375
2024-05-21,31.875
2024-05-22,31.5625
2024-05-23,30.625
2024-05-24,32.1875
2024-05-27,31.625
2024-05-28,31.6875
2024-05-29,32.375
2024-05-30,32.125
2024-05-31,33.375
2024-06-03,32.0625
2024-06-04,32.375
2024-06-05,32.5625
2024-06-06,32.875
2024-06-07,32.9375
2024-06-10,31.75
2024-06-11,34.625
2024-06-12,33.4375
2024-06-13,33.625
2024-06-14,33.8125
2024-06-18,32.625
2024-06-19,34.5
2024-06-24,33.375
2024-06-25,35.1875
2024-06-26,32.875
2024-06-27,33.5625
2024-06-28,36.0625
2024-07-01,34.1875
2024-07-02,36.5
2024-07-03,34.9375
2024-07-04,33.875
2024-07-05,36.0
2024-07-08,35.8125
2024-07-10,34.25
2024-07-11,35.5625
2024-07-12,37.0625
2024-07-15,36.0625
2024-07-16,36.5
2024-07-17,37.5
2024-07-18,37.875
2024-07-19,37.875
2024-07-22,38.6875
2024-07-23,40.4375
2024-07-24,38.125
2024-07-25,38.125
2024-07-26,38.1875
2024-07-29,37.6875
2024-07-30,39.1875
2024-07-31,37.5
2024-08-01,40.25
2024-08-02,37.5
2024-08-05,36.75
2024-08-06,37.9375
2024-08-07,38.375
2024-08-08,37.125
2024-08-09,37.1875
2024-08-12,37.9375
2024-08-13,38.375
2024-08-14,38.5
2024-08-15,38.5
2024-08-16,39.4375
2024-08-19,38.375
2024-08-20,40.75
2024-08-21,39.25
2024-08-22,41.25
2024-08-23,39.125
2024-08-26,38.375
2024-08-27,41.1875
2024-08-28,38.8125
2024-08-29,39.4375
2024-08-30,40.125
2024-09-02,37.375
2024-09-03,39.4375
2024-09-04,37.75
2024-09-05,38.125
2024-09-06,38.0
2024-09-09,37.875
2024-09-10,38.625
2024-09-11,39.3125
2024-09-12,39.25
2024-09-13,38.625
2024-09-16,39.125
2024-09-17,39.25
2024-09-18,39.4375
2024-09-19,40.125
2024-09-20,41.6875
2024-09-23,40.0625
2024-09-24,42.0
2024-09-25,39.625
2024-09-26,40.625
2024-09-27,40.9375
2024-09-30,39.75
2024-10-01,42.0
2024-10-02,40.0625
2024-10-03,40.4375
2024-10-04,39.8125
2024-10-07,39.0625
2024-10-08,38.5
