fecha,valor
2025-04-14,1000.0
2025-04-15,999.67
2025-04-16,999.33
2025-04-21,997.66
2025-04-22,997.32
2025-04-23,996.99
2025-04-24,996.66
2025-04-25,996.32
2025-04-28,995.32
2025-04-29,994.99
2025-04-30,994.65
2025-05-05,992.99
2025-05-06,992.66
2025-05-07,992.32
2025-05-08,991.99
2025-05-09,991.66
2025-05-12,990.66
2025-05-13,990.33
2025-05-14,990.0
2025-05-15,989.67
2025-05-16,989.34
2025-05-19,988.34
2025-05-20,988.01
2025-05-21,987.68
2025-05-22,987.35
2025-05-23,987.02
2025-05-26,986.03
2025-05-27,985.7
2025-05-28,985.37
2025-05-29,985.04
2025-05-30,984.71
2025-06-02,983.72
2025-06-03,983.39
2025-06-04,983.06
2025-06-05,982.73
2025-06-06,982.4
2025-06-09,981.41
2025-06-10,981.09
2025-06-11,980.76
2025-06-12,980.43
2025-06-13,980.1
2025-06-17,978.79
2025-06-18,978.46
2025-06-19,978.13
2025-06-23,976.82
2025-06-24,976.49
2025-06-25,976.17
2025-06-26,975.84
2025-06-27,975.51
2025-06-30,974.53
2025-07-01,974.21
2025-07-02,973.88
2025-07-03,973.56
2025-07-04,973.23
2025-07-07,972.25
2025-07-08,971.93
2025-07-10,971.27
2025-07-11,970.95
2025-07-14,969.97
2025-07-15,969.65
2025-07-16,969.32
2025-07-17,969.0
2025-07-18,968.68
2025-07-21,967.7
2025-07-22,967.38
2025-07-23,967.05
2025-07-24,966.73
2025-07-25,966.41
2025-07-28,965.44
2025-07-29,965.11
2025-07-30,964.79
2025-07-31,964.47
2025-08-01,964.14
2025-08-04,963.17
2025-08-05,962.85
2025-08-06,962.53
2025-08-07,962.21
2025-08-08,961.88
2025-08-11,960.92
2025-08-12,960.6
2025-08-13,960.27
2025-08-14,959.95
2025-08-18,958.67
2025-08-19,958.35
2025-08-20,958.02
2025-08-21,957.7
2025-08-22,957.38
2025-08-25,956.42
2025-08-26,956.1
2025-08-27,955.78
2025-08-28,955.46
2025-08-29,955.14
2025-09-01,954.18
2025-09-02,953.86
2025-09-03,953.54
2025-09-04,953.22
2025-09-05,952.9
2025-09-08,951.95
2025-09-09,951.63
2025-09-10,951.31
2025-09-11,950.99
2025-09-12,950.67
2025-09-15,949.72
2025-09-16,949.4
2025-09-17,949.08
2025-09-18,948.76
2025-09-19,948.44
2025-09-22,947.49
2025-09-23,947.17
2025-09-24,946.86
2025-09-25,946.54
2025-09-26,946.22
2025-09-29,945.27
2025-09-30,944.96
2025-10-01,944.64
2025-10-02,944.32
2025-10-03,944.01
2025-10-06,943.06
2025-10-07,942.74
2025-10-08,942.43
2025-10-09,942.11
2025-10-13,940.85
2025-10-14,940.53
2025-10-15,940.22
2025-10-16,939.9
2025-10-17,939.59
2025-10-20,938.65
2025-10-21,938.33
2025-10-22,938.02
2025-10-23,937.7
2025-10-24,937.39
2025-10-27,936.45
2025-10-28,936.13
2025-10-29,935.82
2025-10-30,935.51
2025-10-31,935.19
2025-11-03,934.25
2025-11-04,933.94
2025-11-05,933.63
2025-11-07,933.0
2025-11-10,932.07
2025-11-11,931.75
2025-11-12,931.44
2025-11-13,931.13
2025-11-14,930.82
2025-11-17,929.88
2025-11-18,929.57
2025-11-19,929.26
2025-11-20,928.95
2025-11-25,927.39
2025-11-26,927.08
2025-11-27,926.77
2025-11-28,926.46
2025-12-01,925.53
2025-12-02,925.22
2025-12-03,924.91
2025-12-04,924.6
2025-12-05,924.29
2025-12-09,923.05
2025-12-10,922.74
2025-12-11,922.44
2025-12-12,922.13
2025-12-15,921.2
2025-12-16,920.89
2025-12-17,920.58
2025-12-18,920.27
2025-12-19,919.97
2025-12-22,919.04
2025-12-23,918.73
2025-12-26,917.81
2025-12-29,916.89
2025-12-30,916.58
2026-01-02,914.78
2026-01-05,912.54
2026-01-06,911.8
2026-01-07,911.05
2026-01-08,910.31
2026-01-09,909.57
2026-01-12,907.34
2026-01-13,906.6
2026-01-14,905.86
2026-01-15,905.12
2026-01-16,904.38
2026-01-19,902.17
2026-01-20,901.43
2026-01-21,900.69
2026-01-22,899.96
2026-01-23,899.22
2026-01-26,897.02
2026-01-27,896.29
2026-01-28,895.56
2026-01-29,894.83
2026-01-30,894.1
2026-02-02,891.56
2026-02-03,890.65
2026-02-04,889.75
2026-02-05,888.85
2026-02-06,887.95
2026-02-09,885.25
2026-02-10,884.35
2026-02-11,883.46
2026-02-12,882.56
2026-02-13,881.67
2026-02-18,877.21
2026-02-19,876.32
2026-02-20,875.43
2026-02-23,872.77
2026-02-24,871.88
2026-02-25,871.0
2026-02-26,870.12
2026-02-27,869.24
