fecha,valor
2025-04-14,1400.0
2025-04-15,1400.46
2025-04-16,1400.93
2025-04-21,1403.25
2025-04-22,1403.72
2025-04-23,1404.19
2025-04-24,1404.65
2025-04-25,1405.12
2025-04-28,1406.52
2025-04-29,1406.98
2025-04-30,1407.45
2025-05-05,1409.79
2025-05-06,1410.25
2025-05-07,1410.72
2025-05-08,1411.19
2025-05-09,1411.66
2025-05-12,1413.06
2025-05-13,1413.53
2025-05-14,1414.0
2025-05-15,1414.47
2025-05-16,1414.94
2025-05-19,1416.35
2025-05-20,1416.82
2025-05-21,1417.29
2025-05-22,1417.76
2025-05-23,1418.23
2025-05-26,1419.64
2025-05-27,1420.11
2025-05-28,1420.58
2025-05-29,1421.05
2025-05-30,1421.52
2025-06-02,1422.94
2025-06-03,1423.41
2025-06-04,1423.88
2025-06-05,1424.36
2025-06-06,1424.83
2025-06-09,1426.25
2025-06-10,1426.72
2025-06-11,1427.19
2025-06-12,1427.67
2025-06-13,1428.14
2025-06-17,1430.04
2025-06-18,1430.51
2025-06-19,1430.98
2025-06-23,1432.88
2025-06-24,1433.36
2025-06-25,1433.84
2025-06-26,1434.31
2025-06-27,1434.79
2025-06-30,1436.22
2025-07-01,1436.69
2025-07-02,1437.17
2025-07-03,1437.65
2025-07-04,1438.12
2025-07-07,1439.55
2025-07-08,1440.03
2025-07-10,1440.99
2025-07-11,1441.46
2025-07-14,1442.9
2025-07-15,1443.38
2025-07-16,1443.86
2025-07-17,1444.34
2025-07-18,1444.82
2025-07-21,1446.25
2025-07-22,1446.73
2025-07-23,1447.21
2025-07-24,1447.69
2025-07-25,1448.17
2025-07-28,1449.62
2025-07-29,1450.1
2025-07-30,1450.58
2025-07-31,1451.06
2025-08-01,1451.54
2025-08-04,1452.99
2025-08-05,1453.47
2025-08-06,1453.95
2025-08-07,1454.43
2025-08-08,1454.91
2025-08-11,1456.36
2025-08-12,1456.85
2025-08-13,1457.33
2025-08-14,1457.81
2025-08-18,1459.75
2025-08-19,1460.23
2025-08-20,1460.72
2025-08-21,1461.2
2025-08-22,1461.69
2025-08-25,1463.14
2025-08-26,1463.63
2025-08-27,1464.11
2025-08-28,1464.6
2025-08-29,1465.08
2025-09-01,1466.54
2025-09-02,1467.03
2025-09-03,1467.51
2025-09-04,1468.0
2025-09-05,1468.49
2025-09-08,1469.95
2025-09-09,1470.44
2025-09-10,1470.93
2025-09-11,1471.41
2025-09-12,1471.9
2025-09-15,1473.37
2025-09-16,1473.86
2025-09-17,1474.35
2025-09-18,1474.83
2025-09-19,1475.32
2025-09-22,1476.79
2025-09-23,1477.28
2025-09-24,1477.77
2025-09-25,1478.26
2025-09-26,1478.75
2025-09-29,1480.22
2025-09-30,1480.72
2025-10-01,1481.21
2025-10-02,1481.7
2025-10-03,1482.19
2025-10-06,1483.67
2025-10-07,1484.16
2025-10-08,1484.65
2025-10-09,1485.14
2025-10-13,1487.11
2025-10-14,1487.61
2025-10-15,1488.1
2025-10-16,1488.59
2025-10-17,1489.09
2025-10-20,1490.57
2025-10-21,1491.07
2025-10-22,1491.56
2025-10-23,1492.05
2025-10-24,1492.55
2025-10-27,1494.04
2025-10-28,1494.53
2025-10-29,1495.03
2025-10-30,1495.52
2025-10-31,1496.02
2025-11-03,1497.51
2025-11-04,1498.01
2025-11-05,1498.5
2025-11-07,1499.5
2025-11-10,1500.99
2025-11-11,1501.49
2025-11-12,1501.99
2025-11-13,1502.48
2025-11-14,1502.98
2025-11-17,1504.48
2025-11-18,1504.98
2025-11-19,1505.48
2025-11-20,1505.98
2025-11-25,1508.48
2025-11-26,1508.98
2025-11-27,1509.48
2025-11-28,1509.98
2025-12-01,1511.48
2025-12-02,1511.98
2025-12-03,1512.48
2025-12-04,1512.99
2025-12-05,1513.49
2025-12-09,1515.5
2025-12-10,1516.0
2025-12-11,1516.5
2025-12-12,1517.01
2025-12-15,1518.52
2025-12-16,1519.02
2025-12-17,1519.52
2025-12-18,1520.03
2025-12-19,1520.53
2025-12-22,1522.05
2025-12-23,1522.55
2025-12-26,1524.07
2025-12-29,1525.58
2025-12-30,1526.09
2026-01-02,1529.03
2026-01-05,1532.69
2026-01-06,1533.91
2026-01-07,1535.13
2026-01-08,1536.35
2026-01-09,1537.58
2026-01-12,1541.26
2026-01-13,1542.49
2026-01-14,1543.71
2026-01-15,1544.94
2026-01-16,1546.18
2026-01-19,1549.88
2026-01-20,1551.11
2026-01-21,1552.35
2026-01-22,1553.58
2026-01-23,1554.82
2026-01-26,1558.54
2026-01-27,1559.78
2026-01-28,1561.03
2026-01-29,1562.27
2026-01-30,1563.51
2026-02-02,1567.85
2026-02-03,1569.4
2026-02-04,1570.95
2026-02-05,1572.5
2026-02-06,1574.05
2026-02-09,1578.71
2026-02-10,1580.27
2026-02-11,1581.83
2026-02-12,1583.39
2026-02-13,1584.95
2026-02-18,1592.79
2026-02-19,1594.36
2026-02-20,1595.93
2026-02-23,1600.66
2026-02-24,1602.24
2026-02-25,1603.82
2026-02-26,1605.4
2026-02-27,1606.99
