fecha,valor
2024-02-28,20897721.182
2024-02-29,21956936.698
2024-03-01,21656679.341
2024-03-04,21530032.203
2024-03-05,21715086.456
2024-03-06,22006307.25
2024-03-07,21487285.383
2024-03-08,21054526.735
2024-03-11,20578400.077
2024-03-12,20708089.621
2024-03-13,20677757.243
2024-03-14,20440259.045
2024-03-15,20818201.562
2024-03-18,20641950.611
2024-03-19,20277513.957
2024-03-20,20763383.714
2024-03-21,20683027.939
2024-03-22,20795228.693
2024-03-25,20803221.2
2024-03-26,21863480.805
2024-03-27,23257166.232
2024-04-03,23106376.963
2024-04-04,23130560.638
2024-04-05,23214056.132
2024-04-08,22601849.029
2024-04-09,22155194.363
2024-04-10,21823762.699
2024-04-11,21626273.328
2024-04-12,21776001.556
2024-04-15,21821249.047
2024-04-16,21422434.462
2024-04-17,21592487.245
2024-04-18,21623911.712
2024-04-19,21506544.405
2024-04-22,21575999.583
2024-04-23,21490389.177
2024-04-24,21746092.119
2024-04-25,21695657.77
2024-04-26,22228768.929
2024-04-29,23196055.276
2024-04-30,24834859.416
2024-05-02,25213589.066
2024-05-03,25677616.036
2024-05-06,25603799.353
2024-05-07,25681895.637
2024-05-08,25489716.035
2024-05-09,25386792.734
2024-05-10,24930993.888
2024-05-13,24677875.978
2024-05-14,24814032.698
2024-05-15,25389996.018
2024-05-16,24495703.896
2024-05-17,24814400.476
2024-05-20,24856431.186
2024-05-21,24582116.093
2024-05-22,24860782.885
2024-05-23,24917540.028
2024-05-24,25131359.234
2024-05-27,25530859.94
2024-05-28,25570845.854
2024-05-29,26252299.435
2024-05-30,27156907.97
2024-05-31,28404009.339
2024-06-03,28616571.522
2024-06-04,28519407.455
2024-06-05,29010089.449
2024-06-06,29487582.76
2024-06-07,29052423.709
2024-06-10,28556300.179
2024-06-11,28488259.967
2024-06-12,28734217.741
2024-06-13,29227545.507
2024-06-14,29528235.151
2024-06-18,29742420.154
2024-06-19,29886642.163
2024-06-24,30312804.035
2024-06-25,30669925.937
2024-06-26,31343863.94
2024-06-27,32695389.151
2024-06-28,35112975.507
2024-07-01,35044937.221
2024-07-02,34281691.796
2024-07-03,34764221.359
2024-07-04,35416157.934
2024-07-05,34963649.525
2024-07-08,34290055.227
2024-07-10,34201840.902
2024-07-11,33742420.706
2024-07-12,33791949.173
2024-07-15,33611116.466
2024-07-16,33121105.966
2024-07-17,32707923.584
2024-07-18,32753753.161
2024-07-19,32566073.804
2024-07-22,32330980.977
2024-07-23,32272561.052
2024-07-24,32586053.837
2024-07-25,32904395.321
2024-07-26,32615948.446
2024-07-29,32813253.953
2024-07-30,33567430.95
2024-07-31,35467857.229
2024-08-01,35490602.628
2024-08-02,35410863.217
2024-08-05,35131279.868
2024-08-06,35502718.092
2024-08-07,35240218.449
2024-08-08,34783933.698
2024-08-09,34291640.112
2024-08-12,33460643.868
2024-08-13,33311409.604
2024-08-14,33292510.012
2024-08-15,33709450.018
2024-08-16,32766357.224
2024-08-19,32588687.585
2024-08-20,32571578.777
2024-08-21,32609397.621
2024-08-22,32526950.947
2024-08-23,32496044.578
2024-08-26,32654472.673
2024-08-27,32635707.762
2024-08-28,33064954.477
2024-08-29,33929779.518
2024-08-30,35808041.232
2024-09-02,35482954.259
