fecha,valor
2024-02-28,105.35
2024-02-29,100.28
2024-03-01,132.82
2024-03-04,144.22
2024-03-05,138.54
2024-03-06,138.79
2024-03-07,137.92
2024-03-08,138.0
2024-03-11,140.97
2024-03-12,128.33
2024-03-13,140.23
2024-03-14,119.77
2024-03-15,118.66
2024-03-18,121.01
2024-03-19,115.31
2024-03-20,114.01
2024-03-21,106.36
2024-03-22,112.77
2024-03-25,113.74
2024-03-26,109.28
2024-03-27,109.61
2024-04-03,119.9
2024-04-04,119.63
2024-04-05,114.25
2024-04-08,114.83
2024-04-09,109.13
2024-04-10,108.13
2024-04-11,103.93
2024-04-12,100.85
2024-04-15,102.05
2024-04-16,93.45
2024-04-17,94.12
2024-04-18,94.22
2024-04-19,92.3
2024-04-22,94.64
2024-04-23,89.09
2024-04-24,88.32
2024-04-25,89.66
2024-04-26,90.9
2024-04-29,92.87
2024-04-30,86.63
2024-05-02,87.5
2024-05-03,84.59
2024-05-06,84.97
2024-05-07,75.64
2024-05-08,73.56
2024-05-09,70.91
2024-05-10,71.69
2024-05-13,70.3
2024-05-14,70.34
2024-05-15,70.1
2024-05-16,65.13
2024-05-17,67.92
2024-05-20,68.25
2024-05-21,63.69
2024-05-22,63.17
2024-05-23,62.15
2024-05-24,63.38
2024-05-27,63.75
2024-05-28,61.97
2024-05-29,61.96
2024-05-30,61.31
2024-05-31,61.39
2024-06-03,66.55
2024-06-04,66.16
2024-06-05,64.81
2024-06-06,66.03
2024-06-07,65.1
2024-06-10,68.67
2024-06-11,65.3
2024-06-12,62.9
2024-06-13,62.1
2024-06-14,61.0
2024-06-18,65.41
2024-06-19,61.94
2024-06-24,65.28
2024-06-25,60.08
2024-06-26,60.13
2024-06-27,60.4
2024-06-28,59.17
2024-07-01,63.79
2024-07-02,63.19
2024-07-03,61.0
2024-07-04,59.5
2024-07-05,61.38
2024-07-08,63.71
2024-07-10,63.9
2024-07-11,62.88
2024-07-12,63.22
2024-07-15,64.93
2024-07-16,60.96
2024-07-17,62.31
2024-07-18,61.05
2024-07-19,61.84
2024-07-22,64.81
2024-07-23,62.08
2024-07-24,62.65
2024-07-25,64.69
2024-07-26,65.69
2024-07-29,68.58
2024-07-30,62.92
2024-07-31,62.47
2024-08-01,65.41
2024-08-02,66.1
2024-08-05,70.33
2024-08-06,67.32
2024-08-07,67.56
2024-08-08,67.48
2024-08-09,68.93
2024-08-12,73.1
2024-08-13,67.65
2024-08-14,67.61
2024-08-15,66.88
2024-08-16,67.06
2024-08-19,68.92
2024-08-20,67.97
2024-08-21,65.99
2024-08-22,66.17
2024-08-23,66.44
2024-08-26,69.78
2024-08-27,67.25
2024-08-28,66.82
2024-08-29,66.74
2024-08-30,66.84
2024-09-02,71.06
2024-09-03,70.39
2024-09-04,67.78
2024-09-05,68.66
2024-09-06,69.22
2024-09-09,72.28
2024-09-10,70.9
2024-09-11,66.24
2024-09-12,66.75
2024-09-13,65.8
2024-09-16,69.4
2024-09-17,67.14
2024-09-18,66.16
2024-09-19,66.8
2024-09-20,67.08
2024-09-23,70.7
2024-09-24,67.44
2024-09-25,67.05
2024-09-26,67.44
2024-09-27,67.23
2024-09-30,67.86
2024-10-01,66.12
2024-10-02,70.55
2024-10-03,69.64
2024-10-04,69.46
2024-10-07,71.03
2024-10-08,69.65
2024-10-09,70.4
2024-10-10,71.9
2024-10-14,73.55
2024-10-15,68.83
2024-10-16,69.29
2024-10-17,68.78
2024-10-18,70.01
2024-10-21,72.05
2024-10-22,69.68
2024-10-23,69.22
2024-10-24,71.07
2024-10-25,71.17
2024-10-28,75.16
2024-10-29,70.22
2024-10-30,69.62
2024-10-31,68.27
2024-11-01,72.04
2024-11-04,72.49
2024-11-05,70.5
2024-11-07,72.32
2024-11-08,71.76
2024-11-11,74.57
2024-11-12,70.2
2024-11-13,70.11
2024-11-14,69.52
2024-11-15,69.6
2024-11-19,73.03
2024-11-20,68.17
2024-11-21,67.92
2024-11-22,66.82
2024-11-25,72.91
2024-11-26,69.98
2024-11-27,69.47
2024-11-28,69.44
2024-11-29,68.7
2024-12-02,73.9
2024-12-03,69.13
2024-12-04,68.26
2024-12-05,69.17
2024-12-06,69.92
2024-12-09,72.96
2024-12-10,71.26
2024-12-11,68.61
2024-12-12,66.95
2024-12-13,68.08
2024-12-16,70.24
2024-12-17,67.51
2024-12-18,68.87
2024-12-19,68.99
2024-12-20,69.82
2024-12-23,73.44
2024-12-26,72.34
2024-12-27,70.72
2024-12-30,73.3
2025-01-02,73.08
2025-01-03,71.67
2025-01-06,73.38
2025-01-07,72.01
2025-01-08,70.2
2025-01-09,71.18
2025-01-10,72.56
2025-01-13,73.86
2025-01-14,70.71
2025-01-15,70.23
2025-01-16,70.11
2025-01-17,70.43
2025-01-20,75.1
2025-01-21,70.75
2025-01-22,70.64
2025-01-23,71.01
2025-01-24,71.24
2025-01-27,71.98
2025-01-28,68.08
2025-01-29,67.77
2025-01-30,66.03
2025-01-31,69.23
2025-02-03,71.26
2025-02-04,68.3
2025-02-05,68.75
2025-02-06,68.93
2025-02-07,70.02
2025-02-10,71.41
2025-02-11,68.69
2025-02-12,70.16
2025-02-13,67.62
2025-02-14,68.43
2025-02-17,71.13
2025-02-18,68.28
2025-02-19,67.78
2025-02-20,67.99
2025-02-21,68.3
2025-02-24,69.67
2025-02-25,67.65
2025-02-26,68.88
2025-02-27,69.78
2025-02-28,66.89
2025-03-05,70.38
2025-03-06,69.27
2025-03-07,68.56
2025-03-10,72.05
2025-03-11,69.33
2025-03-12,68.88
2025-03-13,68.85
2025-03-14,66.43
2025-03-17,67.33
2025-03-18,66.96
2025-03-19,66.45
2025-03-20,67.29
2025-03-21,66.93
2025-03-25,69.14
2025-03-26,67.67
2025-03-27,67.21
2025-03-28,66.81
2025-03-31,68.54
2025-04-01,67.87
2025-04-03,67.15
2025-04-04,67.46
2025-04-07,71.47
2025-04-08,69.65
2025-04-09,69.42
2025-04-10,72.1
2025-04-11,69.39
2025-04-14,75.75
2025-04-15,67.29
2025-04-16,69.59
2025-04-21,74.78
2025-04-22,70.89
2025-04-23,70.0
2025-04-24,71.51
2025-04-25,72.1
2025-04-28,73.81
2025-04-29,71.8
2025-04-30,72.2
2025-05-05,74.7
2025-05-06,71.39
2025-05-07,73.18
2025-05-08,73.14
2025-05-09,72.41
2025-05-12,75.98
2025-05-13,71.93
2025-05-14,71.19
2025-05-15,70.84
2025-05-16,70.51
2025-05-19,73.83
2025-05-20,70.96
2025-05-21,69.97
2025-05-22,70.8
2025-05-23,70.04
2025-05-26,74.39
2025-05-27,70.1
2025-05-28,71.93
2025-05-29,71.51
2025-05-30,71.7
2025-06-02,75.74
2025-06-03,71.03
2025-06-04,70.31
2025-06-05,73.39
2025-06-06,73.57
2025-06-09,76.21
2025-06-10,73.57
2025-06-11,73.09
2025-06-12,72.94
2025-06-13,73.87
2025-06-17,75.6
2025-06-18,70.48
2025-06-19,71.16
2025-06-23,74.97
2025-06-24,72.85
2025-06-25,70.77
2025-06-26,71.17
2025-06-27,71.86
2025-06-30,72.58
2025-07-01,71.22
2025-07-02,71.59
2025-07-03,70.94
2025-07-04,71.26
2025-07-07,72.45
2025-07-08,71.34
2025-07-10,71.35
2025-07-11,70.36
2025-07-14,69.88
2025-07-15,68.38
2025-07-16,68.28
2025-07-17,68.25
2025-07-18,67.86
2025-07-21,70.91
2025-07-22,66.29
2025-07-23,67.68
2025-07-24,68.43
2025-07-25,70.05
2025-07-28,73.12
2025-07-29,69.24
2025-07-30,67.37
2025-07-31,69.22
2025-08-01,70.41
2025-08-04,72.13
2025-08-05,69.06
2025-08-06,71.44
2025-08-07,71.56
2025-08-08,72.32
2025-08-11,75.76
2025-08-12,72.34
2025-08-13,74.83
2025-08-14,75.52
2025-08-18,77.39
2025-08-19,72.74
2025-08-20,74.54
2025-08-21,74.74
2025-08-22,74.31
2025-08-25,79.68
2025-08-26,74.52
2025-08-27,74.77
2025-08-28,77.83
2025-08-29,76.74
2025-09-01,83.85
2025-09-02,77.92
2025-09-03,78.04
2025-09-04,80.4
2025-09-05,82.46
2025-09-08,85.75
2025-09-09,80.83
2025-09-10,84.98
2025-09-11,84.3
2025-09-12,82.5
2025-09-15,84.76
2025-09-16,81.62
2025-09-17,80.65
2025-09-18,80.14
2025-09-19,81.92
2025-09-22,84.29
2025-09-23,81.09
2025-09-24,80.96
2025-09-25,81.11
2025-09-26,79.66
2025-09-29,82.55
2025-09-30,76.77
2025-10-01,80.94
2025-10-02,82.21
2025-10-03,82.2
2025-10-06,84.08
2025-10-07,82.93
2025-10-08,83.36
2025-10-09,84.07
2025-10-13,87.35
2025-10-14,82.02
2025-10-15,82.94
2025-10-16,82.93
2025-10-17,84.73
2025-10-20,84.93
2025-10-21,82.8
2025-10-22,83.26
2025-10-23,82.07
2025-10-24,84.38
2025-10-27,85.9
2025-10-28,82.99
2025-10-29,82.23
2025-10-30,80.7
2025-10-31,82.16
2025-11-03,85.89
2025-11-04,81.29
2025-11-05,82.84
2025-11-07,82.27
2025-11-10,82.78
2025-11-11,79.56
2025-11-12,78.82
2025-11-13,75.81
2025-11-14,76.51
2025-11-17,77.58
2025-11-18,73.93
2025-11-19,74.52
2025-11-20,74.13
2025-11-25,75.83
2025-11-26,71.74
2025-11-27,72.37
2025-11-28,70.19
2025-12-01,75.74
