fecha,valor
2024-02-26,103.49
2024-02-27,108.37
2024-02-28,108.31
2024-02-29,108.12
2024-03-01,108.77
2024-03-04,107.46
2024-03-05,99.77
2024-03-06,108.44
2024-03-07,108.32
2024-03-08,108.3
2024-03-11,108.19
2024-03-12,75.87
2024-03-13,72.35
2024-03-14,71.62
2024-03-15,69.88
2024-03-18,70.44
2024-03-19,70.87
2024-03-20,70.66
2024-03-21,71.44
2024-03-22,70.41
2024-03-25,70.74
2024-03-26,70.64
2024-03-27,70.2
2024-04-03,70.05
2024-04-04,69.51
2024-04-05,70.34
2024-04-08,70.39
2024-04-09,68.98
2024-04-10,67.92
2024-04-11,66.25
2024-04-12,60.85
2024-04-15,59.26
2024-04-16,60.76
2024-04-17,60.24
2024-04-18,60.81
2024-04-19,60.17
2024-04-22,60.48
2024-04-23,60.66
2024-04-24,60.09
2024-04-25,57.16
2024-04-26,50.08
2024-04-29,50.47
2024-04-30,51.02
2024-05-02,48.24
2024-05-03,40.38
2024-05-06,39.53
2024-05-07,40.15
2024-05-08,39.64
2024-05-09,39.63
2024-05-10,39.23
2024-05-13,39.19
2024-05-14,39.08
2024-05-15,30.87
2024-05-16,31.39
2024-05-17,30.18
2024-05-20,31.2
2024-05-21,30.96
2024-05-22,30.34
2024-05-23,30.86
2024-05-24,30.68
2024-05-27,30.9
2024-05-28,31.17
2024-05-29,31.46
2024-05-30,32.18
2024-05-31,31.0
2024-06-03,31.09
2024-06-04,30.85
2024-06-05,31.22
2024-06-06,32.28
2024-06-07,31.9
2024-06-10,30.65
2024-06-11,33.29
2024-06-12,32.53
2024-06-13,32.73
2024-06-14,31.28
2024-06-18,31.3
2024-06-19,32.69
2024-06-24,32.8
2024-06-25,33.89
2024-06-26,32.36
2024-06-27,33.18
2024-06-28,35.02
2024-07-01,34.45
2024-07-02,34.09
2024-07-03,34.27
2024-07-04,35.66
2024-07-05,34.4
2024-07-08,35.4
2024-07-10,33.72
2024-07-11,34.55
2024-07-12,36.16
2024-07-15,34.84
2024-07-16,35.6
2024-07-17,37.36
2024-07-18,35.14
2024-07-19,35.98
2024-07-22,36.67
2024-07-23,39.35
2024-07-24,36.11
2024-07-25,35.68
2024-07-26,35.48
2024-07-29,36.67
2024-07-30,37.61
2024-07-31,35.69
2024-08-01,37.3
2024-08-02,36.84
2024-08-05,36.45
2024-08-06,38.37
2024-08-07,36.58
2024-08-08,37.16
2024-08-09,37.22
2024-08-12,37.51
2024-08-13,38.75
2024-08-14,37.79
2024-08-15,37.0
2024-08-16,37.06
2024-08-19,37.45
2024-08-20,39.23
2024-08-21,38.22
2024-08-22,40.34
2024-08-23,37.57
2024-08-26,37.48
2024-08-27,39.18
2024-08-28,38.02
2024-08-29,39.51
2024-08-30,41.21
2024-09-02,37.43
2024-09-03,37.3
2024-09-04,37.24
2024-09-05,38.32
2024-09-06,37.93
2024-09-09,37.16
2024-09-10,37.95
2024-09-11,38.71
2024-09-12,38.56
2024-09-13,37.88
2024-09-16,37.75
2024-09-17,35.22
2024-09-18,37.68
2024-09-19,39.5
2024-09-20,40.42
2024-09-23,38.8
2024-09-24,41.1
2024-09-25,38.21
2024-09-26,39.8
2024-09-27,39.29
2024-09-30,39.41
2024-10-01,37.61
2024-10-02,38.41
2024-10-03,39.52
2024-10-04,38.57
2024-10-07,38.89
2024-10-08,37.94
2024-10-09,38.04
2024-10-10,39.03
2024-10-14,38.97
2024-10-15,39.27
2024-10-16,39.29
2024-10-17,37.36
2024-10-18,38.71
2024-10-21,39.92
2024-10-22,41.12
2024-10-23,38.58
2024-10-24,39.88
2024-10-25,38.47
2024-10-28,39.08
2024-10-29,40.59
2024-10-30,39.47
2024-10-31,40.45
2024-11-01,36.7
2024-11-04,36.1
2024-11-05,36.33
2024-11-07,35.34
2024-11-08,34.88
2024-11-11,35.38
2024-11-12,36.17
2024-11-13,35.59
2024-11-14,35.93
2024-11-15,36.27
2024-11-19,33.8
2024-11-20,35.65
2024-11-21,36.57
2024-11-22,35.18
2024-11-25,34.73
2024-11-26,36.31
2024-11-27,35.67
2024-11-28,36.11
2024-11-29,36.59
2024-12-02,32.65
2024-12-03,35.98
2024-12-04,35.32
2024-12-05,35.16
2024-12-06,32.92
2024-12-09,30.94
2024-12-10,31.73
2024-12-11,30.64
2024-12-12,31.96
2024-12-13,31.32
2024-12-16,31.44
2024-12-17,31.86
2024-12-18,31.57
2024-12-19,30.85
2024-12-20,31.35
2024-12-23,31.56
2024-12-26,31.22
2024-12-27,32.13
2024-12-30,31.78
2025-01-02,31.42
2025-01-03,31.8
2025-01-06,31.59
2025-01-07,31.01
2025-01-08,30.32
2025-01-09,31.07
2025-01-10,31.55
2025-01-13,31.07
2025-01-14,32.28
2025-01-15,30.72
2025-01-16,30.13
2025-01-17,31.27
2025-01-20,29.82
2025-01-21,30.39
2025-01-22,30.34
2025-01-23,29.98
2025-01-24,30.97
2025-01-27,29.46
2025-01-28,31.42
2025-01-29,30.28
2025-01-30,31.2
2025-01-31,28.72
2025-02-03,26.99
2025-02-04,28.45
2025-02-05,28.51
2025-02-06,28.48
2025-02-07,27.0
2025-02-10,27.2
2025-02-11,28.13
2025-02-12,27.2
2025-02-13,27.16
2025-02-14,27.56
2025-02-17,27.86
2025-02-18,28.13
2025-02-19,27.03
2025-02-20,27.46
2025-02-21,27.32
2025-02-24,27.23
2025-02-25,27.95
2025-02-26,26.84
2025-02-27,27.3
2025-02-28,27.74
2025-03-05,26.65
2025-03-06,28.11
2025-03-07,28.4
2025-03-10,26.61
2025-03-11,27.79
2025-03-12,27.48
2025-03-13,28.23
2025-03-14,27.78
2025-03-17,28.07
2025-03-18,29.59
2025-03-19,29.67
2025-03-20,29.53
2025-03-21,28.57
2025-03-25,28.83
2025-03-26,29.3
2025-03-27,30.72
2025-03-28,28.82
2025-03-31,29.46
2025-04-01,31.07
2025-04-03,30.84
2025-04-04,29.66
2025-04-07,30.6
2025-04-08,31.03
2025-04-09,29.84
2025-04-10,30.6
2025-04-11,30.75
2025-04-14,34.02
2025-04-15,35.13
2025-04-16,36.87
2025-04-21,34.03
2025-04-22,33.87
2025-04-23,32.84
2025-04-24,33.12
2025-04-25,33.54
2025-04-28,32.66
2025-04-29,33.03
2025-04-30,32.44
2025-05-05,32.11
2025-05-06,33.55
2025-05-07,33.0
2025-05-08,32.63
2025-05-09,31.8
2025-05-12,32.04
2025-05-13,32.56
2025-05-14,32.06
2025-05-15,32.97
2025-05-16,32.2
2025-05-19,33.1
2025-05-20,33.18
2025-05-21,31.45
2025-05-22,31.97
2025-05-23,32.19
2025-05-26,31.55
2025-05-27,32.55
2025-05-28,31.39
2025-05-29,32.43
2025-05-30,31.29
2025-06-02,32.75
2025-06-03,32.82
2025-06-04,31.4
2025-06-05,32.1
2025-06-06,32.11
2025-06-09,31.29
2025-06-10,31.86
2025-06-11,31.8
2025-06-12,31.93
2025-06-13,31.51
2025-06-17,31.95
2025-06-18,31.39
2025-06-19,32.62
2025-06-23,31.0
2025-06-24,29.79
2025-06-25,31.77
2025-06-26,31.62
2025-06-27,31.06
2025-06-30,31.42
2025-07-01,32.6
2025-07-02,32.15
2025-07-03,32.36
2025-07-04,31.4
2025-07-07,31.66
2025-07-08,31.97
2025-07-10,31.04
2025-07-11,30.76
2025-07-14,29.1
2025-07-15,29.03
2025-07-16,29.77
2025-07-17,29.5
2025-07-18,29.81
2025-07-21,31.11
2025-07-22,33.06
2025-07-23,31.9
2025-07-24,32.77
2025-07-25,32.69
2025-07-28,32.1
2025-07-29,33.96
2025-07-30,33.46
2025-07-31,35.02
2025-08-01,36.03
2025-08-04,36.77
2025-08-05,37.66
2025-08-06,37.51
2025-08-07,37.15
2025-08-08,40.2
2025-08-11,39.05
2025-08-12,44.6
2025-08-13,42.8
2025-08-14,44.81
2025-08-18,46.5
2025-08-19,54.02
2025-08-20,52.81
2025-08-21,50.19
2025-08-22,48.6
2025-08-25,49.04
2025-08-26,53.85
2025-08-27,51.16
2025-08-28,55.63
2025-08-29,53.63
2025-09-01,54.57
2025-09-02,53.62
2025-09-03,52.49
2025-09-04,56.06
2025-09-05,52.72
2025-09-08,53.62
2025-09-09,55.64
2025-09-10,51.16
2025-09-11,49.43
2025-09-12,45.42
2025-09-15,44.71
2025-09-16,43.34
2025-09-17,43.03
2025-09-18,43.89
2025-09-19,43.78
2025-09-22,43.72
2025-09-23,45.64
2025-09-24,43.22
2025-09-25,39.22
2025-09-26,37.78
2025-09-29,38.8
2025-09-30,37.67
2025-10-01,40.17
2025-10-02,39.93
2025-10-03,39.49
2025-10-06,39.98
2025-10-07,42.3
2025-10-08,41.85
2025-10-09,46.08
2025-10-13,45.44
2025-10-14,49.38
2025-10-15,51.47
2025-10-16,54.44
2025-10-17,49.45
2025-10-20,48.28
2025-10-21,48.77
2025-10-22,47.09
2025-10-23,47.06
2025-10-24,47.12
2025-10-27,43.3
2025-10-28,44.82
2025-10-29,40.91
2025-10-30,39.32
2025-10-31,37.49
2025-11-03,35.06
2025-11-04,35.94
2025-11-05,34.17
2025-11-07,33.05
2025-11-10,32.01
2025-11-11,32.73
2025-11-12,30.88
2025-11-13,30.97
2025-11-14,30.7
2025-11-17,30.27
2025-11-18,30.55
2025-11-19,31.19
2025-11-20,30.62
2025-11-25,29.32
2025-11-26,28.91
2025-11-27,29.06
2025-11-28,29.03
2025-12-01,28.06
2025-12-02,28.41
2025-12-03,26.47
2025-12-04,25.68
2025-12-05,25.56
2025-12-09,24.93
2025-12-10,24.73
2025-12-11,24.52
2025-12-12,24.24
2025-12-15,24.8
2025-12-16,24.92
2025-12-17,25.0
2025-12-18,25.12
2025-12-19,25.63
2025-12-22,26.04
2025-12-23,27.44
2025-12-26,25.38
2025-12-29,25.29
2025-12-30,25.46
2026-01-02,25.22
2026-01-05,25.64
2026-01-06,26.64
2026-01-07,28.43
2026-01-08,27.55
2026-01-09,26.37
2026-01-12,25.86
2026-01-13,28.56
2026-01-14,28.78
2026-01-15,29.88
2026-01-16,29.93
2026-01-19,30.02
2026-01-20,30.87
2026-01-21,30.67
2026-01-22,32.93
2026-01-23,33.06
2026-01-26,29.29
2026-01-27,31.28
2026-01-28,29.29
2026-01-29,28.62
2026-01-30,28.57
