fecha,valor
2024-02-28,841.75
2024-02-29,842.25
2024-03-01,842.75
2024-03-04,844.25
2024-03-05,845.25
2024-03-06,845.75
2024-03-07,846.25
2024-03-08,846.75
2024-03-11,848.25
2024-03-12,848.75
2024-03-13,849.75
2024-03-14,850.25
2024-03-15,850.75
2024-03-18,852.25
2024-03-19,852.75
2024-03-20,853.25
2024-03-21,854.25
2024-03-22,854.75
2024-03-25,856.25
2024-03-26,856.75
2024-03-27,857.42
2024-04-03,861.25
2024-04-04,861.75
2024-04-05,862.75
2024-04-08,864.25
2024-04-09,864.75
2024-04-10,865.25
2024-04-11,865.75
2024-04-12,866.75
2024-04-15,868.25
2024-04-16,868.75
2024-04-17,869.25
2024-04-18,869.75
2024-04-19,870.75
2024-04-22,872.25
2024-04-23,872.75
2024-04-24,873.25
2024-04-25,873.75
2024-04-26,874.75
2024-04-29,876.42
2024-04-30,876.75
2024-05-02,878.25
2024-05-03,878.75
2024-05-06,880.25
2024-05-07,880.75
2024-05-08,881.75
2024-05-09,882.25
2024-05-10,882.75
2024-05-13,884.25
2024-05-14,885.25
2024-05-15,885.75
2024-05-16,886.25
2024-05-17,886.75
2024-05-20,888.75
2024-05-21,889.25
2024-05-22,889.75
2024-05-23,890.25
2024-05-24,890.75
2024-05-27,892.75
2024-05-28,893.25
2024-05-29,893.75
2024-05-30,894.25
2024-05-31,895.25
2024-06-03,896.42
2024-06-04,896.92
2024-06-05,898.25
2024-06-06,898.5
2024-06-07,899.08
2024-06-10,901.17
2024-06-11,902.17
2024-06-12,902.25
2024-06-13,902.58
2024-06-14,902.67
2024-06-18,905.42
2024-06-19,906.0
2024-06-24,909.08
2024-06-25,909.67
2024-06-26,910.75
2024-06-27,911.58
2024-06-28,911.75
2024-07-01,914.5
2024-07-02,915.17
2024-07-03,915.67
2024-07-04,915.92
2024-07-05,918.25
2024-07-08,918.92
2024-07-10,919.83
2024-07-11,920.5
2024-07-12,921.75
2024-07-15,922.92
2024-07-16,923.5
2024-07-17,923.83
2024-07-18,924.75
2024-07-19,926.75
2024-07-22,927.08
2024-07-23,927.33
2024-07-24,928.67
2024-07-25,929.17
2024-07-26,931.58
2024-07-29,931.75
2024-07-30,932.25
2024-07-31,932.75
2024-08-01,933.42
2024-08-02,935.08
2024-08-05,935.75
2024-08-06,936.5
2024-08-07,937.08
2024-08-08,937.58
2024-08-09,939.67
2024-08-12,939.83
2024-08-13,940.33
2024-08-14,941.67
2024-08-15,942.0
2024-08-16,944.0
2024-08-19,944.33
2024-08-20,944.83
2024-08-21,945.33
2024-08-22,946.25
2024-08-23,948.17
2024-08-26,949.08
2024-08-27,949.75
2024-08-28,950.08
2024-08-29,950.67
2024-08-30,952.83
2024-09-02,952.75
2024-09-03,954.17
2024-09-04,954.5
2024-09-05,954.92
2024-09-06,957.17
2024-09-09,957.75
2024-09-10,958.17
2024-09-11,958.92
2024-09-12,959.67
2024-09-13,961.75
2024-09-16,962.08
2024-09-17,962.42
2024-09-18,963.33
2024-09-19,963.75
2024-09-20,965.75
2024-09-23,966.33
2024-09-24,966.75
2024-09-25,967.92
2024-09-26,968.75
2024-09-27,970.58
2024-09-30,970.92
2024-10-01,971.25
2024-10-02,971.75
2024-10-03,972.75
2024-10-04,974.83
2024-10-07,975.5
2024-10-08,975.92
2024-10-09,976.25
2024-10-10,979.42
2024-10-14,980.17
2024-10-15,980.58
2024-10-16,981.58
2024-10-17,981.75
2024-10-18,983.83
2024-10-21,984.42
2024-10-22,984.83
2024-10-23,985.92
2024-10-24,986.33
2024-10-25,988.33
2024-10-28,988.83
2024-10-29,989.25
2024-10-30,990.25
2024-10-31,990.75
2024-11-01,992.75
2024-11-04,993.33
2024-11-05,994.75
2024-11-07,995.33
2024-11-08,997.25
2024-11-11,997.75
2024-11-12,998.75
2024-11-13,999.25
2024-11-14,999.75
2024-11-15,1002.75
2024-11-19,1003.25
2024-11-20,1003.75
2024-11-21,1004.75
2024-11-22,1006.75
2024-11-25,1007.25
2024-11-26,1007.75
2024-11-27,1008.75
2024-11-28,1009.25
2024-11-29,1011.75
2024-12-02,1011.92
2024-12-03,1013.17
2024-12-04,1013.25
2024-12-05,1013.83
2024-12-06,1015.75
2024-12-09,1016.75
2024-12-10,1017.25
2024-12-11,1017.75
2024-12-12,1018.75
2024-12-13,1020.75
2024-12-16,1021.25
2024-12-17,1021.83
2024-12-18,1022.75
2024-12-19,1023.25
2024-12-20,1025.42
2024-12-23,1027.75
2024-12-26,1029.0
2024-12-27,1030.5
2024-12-30,1032.5
2025-01-02,1032.75
2025-01-03,1034.75
2025-01-06,1035.75
2025-01-07,1036.25
2025-01-08,1036.75
2025-01-09,1037.75
2025-01-10,1039.75
2025-01-13,1040.25
2025-01-14,1041.25
2025-01-15,1041.75
2025-01-16,1042.25
2025-01-17,1044.5
2025-01-20,1045.25
2025-01-21,1045.92
2025-01-22,1047.25
2025-01-23,1047.67
2025-01-24,1049.58
2025-01-27,1050.5
2025-01-28,1050.92
2025-01-29,1051.58
2025-01-30,1052.5
2025-01-31,1053.5
2025-02-03,1053.92
2025-02-04,1054.25
2025-02-05,1054.71
2025-02-06,1054.88
2025-02-07,1055.92
2025-02-10,1056.38
2025-02-11,1056.63
2025-02-12,1056.88
2025-02-13,1057.46
2025-02-14,1058.5
2025-02-17,1059.08
2025-02-18,1059.17
2025-02-19,1059.38
2025-02-20,1059.88
2025-02-21,1060.88
2025-02-24,1061.13
2025-02-25,1061.63
2025-02-26,1061.88
2025-02-27,1062.38
2025-02-28,1064.38
2025-03-05,1064.38
2025-03-06,1064.63
2025-03-07,1066.04
2025-03-10,1066.33
2025-03-11,1066.67
2025-03-12,1066.88
2025-03-13,1067.13
2025-03-14,1068.54
2025-03-17,1068.92
2025-03-18,1069.13
2025-03-19,1069.63
2025-03-20,1069.83
2025-03-21,1071.33
2025-03-25,1071.58
2025-03-26,1072.08
2025-03-27,1072.29
2025-03-28,1073.38
2025-03-31,1073.88
2025-04-01,1074.54
2025-04-03,1074.83
2025-04-04,1075.88
2025-04-07,1076.33
2025-04-08,1076.58
2025-04-09,1077.13
2025-04-10,1077.38
2025-04-11,1078.38
2025-04-14,1182.42
2025-04-15,1200.83
2025-04-16,1172.83
2025-04-21,1070.42
2025-04-22,1093.33
2025-04-23,1122.5
2025-04-24,1176.42
2025-04-25,1174.17
2025-04-28,1163.17
2025-04-29,1170.67
2025-04-30,1172.0
2025-05-05,1178.5
2025-05-06,1203.83
2025-05-07,1153.5
2025-05-08,1117.5
2025-05-09,1113.58
2025-05-12,1126.0
2025-05-13,1125.67
2025-05-14,1129.83
2025-05-15,1135.5
2025-05-16,1146.17
2025-05-19,1134.25
2025-05-20,1142.0
2025-05-21,1145.0
2025-05-22,1143.58
2025-05-23,1137.0
2025-05-26,1139.83
2025-05-27,1148.0
2025-05-28,1161.0
2025-05-29,1174.5
2025-05-30,1195.33
2025-06-02,1181.17
2025-06-03,1184.0
2025-06-04,1184.33
2025-06-05,1189.67
2025-06-06,1190.0
2025-06-09,1186.42
2025-06-10,1187.0
2025-06-11,1184.5
2025-06-12,1185.5
2025-06-13,1187.67
2025-06-17,1180.08
2025-06-18,1151.0
2025-06-19,1156.17
2025-06-23,1167.33
2025-06-24,1176.0
2025-06-25,1176.33
2025-06-26,1194.67
2025-06-27,1189.83
