fecha,valor
2024-02-28,671.35
2024-02-29,675.7
2024-03-01,680.08
2024-03-02,684.48
2024-03-03,684.48
2024-03-04,684.48
2024-03-05,697.88
2024-03-06,702.4
2024-03-07,706.95
2024-03-08,711.53
2024-03-09,716.14
2024-03-10,716.14
2024-03-11,716.14
2024-03-12,730.15
2024-03-13,734.88
2024-03-14,739.65
2024-03-15,744.44
2024-03-16,749.26
2024-03-17,749.26
2024-03-18,749.26
2024-03-19,758.31
2024-03-20,761.35
2024-03-21,764.4
2024-03-22,767.46
2024-03-23,770.54
2024-03-24,770.54
2024-03-25,770.54
2024-03-26,779.84
2024-03-27,782.96
2024-03-28,786.1
2024-03-29,786.1
2024-03-30,786.1
2024-03-31,786.1
2024-04-01,786.1
2024-04-02,786.1
2024-04-03,786.1
2024-04-04,808.42
2024-04-05,811.66
2024-04-06,814.91
2024-04-07,814.91
2024-04-08,814.91
2024-04-09,824.75
2024-04-10,828.05
2024-04-11,831.37
2024-04-12,834.7
2024-04-13,838.05
2024-04-14,838.05
2024-04-15,838.05
2024-04-16,848.17
2024-04-17,851.12
2024-04-18,854.09
2024-04-19,857.06
2024-04-20,860.05
2024-04-21,860.05
2024-04-22,860.05
2024-04-23,869.07
2024-04-24,872.1
2024-04-25,875.14
2024-04-26,878.19
2024-04-27,881.25
2024-04-28,881.25
2024-04-29,881.25
2024-04-30,890.49
2024-05-01,893.6
2024-05-02,893.6
2024-05-03,899.84
2024-05-04,902.97
2024-05-05,902.97
2024-05-06,902.97
2024-05-07,912.45
2024-05-08,915.62
2024-05-09,918.82
2024-05-10,922.02
2024-05-11,925.23
2024-05-12,925.23
2024-05-13,925.23
2024-05-14,934.94
2024-05-15,938.19
2024-05-16,941.46
2024-05-17,944.03
2024-05-18,946.6
2024-05-19,946.6
2024-05-20,946.6
2024-05-21,954.36
2024-05-22,956.96
2024-05-23,959.57
2024-05-24,962.18
2024-05-25,964.8
2024-05-26,964.8
2024-05-27,964.8
2024-05-28,972.71
2024-05-29,975.36
2024-05-30,978.02
2024-05-31,980.68
2024-06-01,983.35
2024-06-02,983.35
2024-06-03,983.35
2024-06-04,991.41
2024-06-05,994.11
2024-06-06,996.82
2024-06-07,999.54
2024-06-08,1002.26
2024-06-09,1002.26
2024-06-10,1002.26
2024-06-11,1010.47
2024-06-12,1013.23
2024-06-13,1015.99
2024-06-14,1018.75
2024-06-15,1021.53
2024-06-16,1021.53
